channel,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,408
63,593
64,655
65,633
66,550
67,599
68,630
69,607
70,611
71,630
72,571
73,571
74,588
75,554
76,557
77,537
78,547
79,534
80,566
81,524
82,588
83,548
84,528
85,536
86,543
87,547
88,578
89,522
90,559
91,530
92,553
93,546
94,542
95,517
96,581
97,501
98,526
99,510
100,511
101,495
102,518
103,538
104,544
105,518
106,495
107,488
108,474
109,518
110,534
111,490
112,553
113,464
114,462
115,466
116,437
117,505
118,467
119,499
120,469
121,482
122,487
123,510
124,516
125,494
126,506
127,531
128,460
129,470
130,440
131,467
132,472
133,463
134,474
135,454
136,491
137,478
138,471
139,443
140,459
141,423
142,456
143,429
144,434
145,462
146,485
147,448
148,444
149,463
150,466
151,464
152,451
153,440
154,460
155,422
156,471
157,438
158,408
159,442
160,423
161,432
162,424
163,443
164,421
165,404
166,388
167,440
168,414
169,413
170,401
171,422
172,409
173,377
174,391
175,426
176,414
177,389
178,405
179,394
180,395
181,420
182,392
183,427
184,415
185,414
186,423
187,376
188,407
189,368
190,383
191,431
192,422
193,417
194,381
195,427
196,385
197,361
198,367
199,391
200,387
201,372
202,411
203,387
204,353
205,388
206,391
207,413
208,395
209,398
210,401
211,391
212,394
213,374
214,381
215,354
216,382
217,346
218,352
219,394
220,385
221,385
222,385
223,357
224,385
225,376
226,385
227,348
228,379
229,369
230,362
231,341
232,351
233,359
234,369
235,348
236,376
237,367
238,352
239,356
240,320
241,332
242,377
243,362
244,347
245,341
246,375
247,350
248,379
249,341
250,312
251,331
252,310
253,361
254,354
255,339
256,336
257,302
258,346
259,329
260,349
261,318
262,344
263,345
264,365
265,322
266,364
267,354
268,338
269,328
270,304
271,332
272,330
273,328
274,316
275,310
276,299
277,309
278,288
279,318
280,342
281,319
282,350
283,300
284,355
285,337
286,314
287,330
288,322
289,313
290,325
291,323
292,312
293,317
294,339
295,310
296,336
297,338
298,324
299,315
300,323
301,303
302,301
303,316
304,329
305,302
306,315
307,270
308,261
309,346
310,300
311,293
312,290
313,299
314,297
315,290
316,280
317,286
318,296
319,308
320,290
321,301
322,282
323,280
324,312
325,279
326,271
327,311
328,271
329,253
330,266
331,276
332,293
333,261
334,286
335,285
336,263
337,304
338,299
339,302
340,279
341,266
342,296
343,310
344,278
345,280
346,291
347,313
348,268
349,280
350,242
351,277
352,267
353,278
354,290
355,275
356,287
357,267
358,246
359,280
360,266
361,252
362,293
363,250
364,251
365,227
366,274
367,238
368,279
369,257
370,267
371,280
372,273
373,278
374,240
375,278
376,227
377,244
378,255
379,251
380,238
381,245
382,219
383,258
384,259
385,279
386,251
387,235
388,264
389,206
390,262
391,247
392,277
393,270
394,252
395,240
396,252
397,259
398,238
399,236
400,250
401,249
402,238
403,275
404,227
405,273
406,224
407,253
408,233
409,249
410,217
411,232
412,267
413,214
414,247
415,233
416,231
417,229
418,232
419,253
420,242
421,246
422,242
423,238
424,220
425,234
426,235
427,216
428,216
429,221
430,222
431,209
432,233
433,221
434,238
435,232
436,232
437,235
438,236
439,234
440,230
441,232
442,227
443,240
444,231
445,218
446,227
447,208
448,219
449,193
450,242
451,221
452,241
453,235
454,228
455,220
456,209
457,230
458,221
459,218
460,200
461,191
462,211
463,214
464,203
465,195
466,217
467,203
468,178
469,214
470,234
471,186
472,206
473,214
474,233
475,228
476,226
477,212
478,207
479,212
480,216
481,210
482,193
483,157
484,182
485,230
486,208
487,172
488,183
489,172
490,179
491,195
492,183
493,182
494,250
495,197
496,166
497,212
498,217
499,190
500,206
501,190
502,226
503,208
504,225
505,207
506,189
507,208
508,199
509,196
510,183
511,183
512,176
513,197
514,201
515,193
516,172
517,163
518,204
519,208
520,164
521,206
522,190
523,170
524,188
525,193
526,176
527,206
528,197
529,196
530,194
531,183
532,159
